,,mat,mat,mat,mat,mat,mat,mat
k,,0,1,2,3,4,5,6
n,l,,,,,,,
7,1,0.3333333333333333,0.2857142857142857,0.23809523809523808,0.19047619047619047,0.14285714285714285,0.09523809523809523,0.047619047619047616
7,2,0.5666666666666667,0.5,0.42857142857142855,0.3523809523809524,0.2714285714285714,0.18571428571428572,0.09523809523809523
7,3,0.7263157894736842,0.6578947368421053,0.5789473684210527,0.48872180451127817,0.38646616541353385,0.2714285714285714,0.14285714285714285
7,4,0.8327485380116959,0.7719298245614035,0.695906432748538,0.6023391812865497,0.48872180451127817,0.3523809523809524,0.19047619047619047
7,5,0.9016167870657035,0.8524251805985552,0.7853457172342622,0.695906432748538,0.5789473684210527,0.42857142857142855,0.23809523809523808
7,6,0.9446594427244582,0.907765737874097,0.8524251805985552,0.7719298245614035,0.6578947368421053,0.5,0.2857142857142857
7,7,0.970485036119711,0.9446594427244582,0.9016167870657035,0.8327485380116959,0.7263157894736842,0.5666666666666667,0.3333333333333333
8,1,0.35,0.3,0.25,0.2,0.15,0.1,0.05
8,2,0.5894736842105263,0.5210526315789473,0.4473684210526316,0.3684210526315789,0.28421052631578947,0.19473684210526315,0.1
8,3,0.7491228070175439,0.6807017543859649,0.6008771929824561,0.5087719298245614,0.40350877192982454,0.28421052631578947,0.15
8,4,0.8524251805985552,0.7933952528379773,0.718266253869969,0.6243550051599587,0.5087719298245614,0.3684210526315789,0.2
8,5,0.9169891640866873,0.8708720330237358,0.8063080495356038,0.718266253869969,0.6008771929824561,0.4473684210526316,0.25
8,6,0.9557275541795666,0.9225232198142415,0.8708720330237358,0.7933952528379773,0.6807017543859649,0.5210526315789473,0.3
9,1,0.3684210526315789,0.3157894736842105,0.2631578947368421,0.21052631578947367,0.15789473684210525,0.10526315789473684,0.05263157894736842
9,2,0.6140350877192983,0.543859649122807,0.4678362573099415,0.38596491228070173,0.2982456140350877,0.2046783625730994,0.10526315789473684
9,3,0.7729618163054696,0.7048503611971104,0.6243550051599587,0.5304437564499485,0.42208462332301344,0.2982456140350877,0.15789473684210525
9,4,0.8722910216718266,0.8155314757481941,0.7417440660474717,0.6478328173374613,0.5304437564499485,0.38596491228070173,0.21052631578947367
9,5,0.9318885448916409,0.8893188854489165,0.8278293773649811,0.7417440660474717,0.6243550051599587,0.4678362573099415,0.2631578947368421
10,1,0.3888888888888889,0.3333333333333333,0.2777777777777778,0.2222222222222222,0.16666666666666666,0.1111111111111111,0.05555555555555555
10,2,0.6405228758169934,0.5686274509803921,0.49019607843137253,0.40522875816993464,0.3137254901960784,0.21568627450980393,0.1111111111111111
10,3,0.7977941176470589,0.7303921568627451,0.6495098039215687,0.553921568627451,0.4424019607843137,0.3137254901960784,0.16666666666666666
10,4,0.8921568627450981,0.8382352941176471,0.7663398692810458,0.6728758169934641,0.553921568627451,0.40522875816993464,0.2222222222222222
11,1,0.4117647058823529,0.35294117647058826,0.29411764705882354,0.23529411764705882,0.17647058823529413,0.11764705882352941,0.058823529411764705
11,2,0.6691176470588235,0.5955882352941176,0.5147058823529411,0.4264705882352941,0.33088235294117646,0.22794117647058823,0.11764705882352941
11,3,0.8235294117647058,0.7573529411764706,0.6764705882352942,0.5794117647058824,0.4647058823529412,0.33088235294117646,0.17647058823529413
12,1,0.4375,0.375,0.3125,0.25,0.1875,0.125,0.0625
12,2,0.7,0.625,0.5416666666666666,0.45,0.35,0.24166666666666667,0.125
13,1,0.4666666666666667,0.4,0.3333333333333333,0.26666666666666666,0.2,0.13333333333333333,0.06666666666666667
